t XN Xeig Xmass prXmass totalprXmass
[0.200004, '1', 3.308472, 43.14939, '43.21%', '97.97%']
[2.50001, '2', 3.312884, 46.3558, '46.43000000000001%', '97.97%']
[5.00001, '2', 3.313558, 70.38413, '70.49000000000001%', '97.98%']
[6.25001, '2', 3.234344, 47.9426, '48.019999999999996%', '97.99%']
[7.50001, '2', 2.978729, 84.24896, '84.37%', '98.19%']
[8.75001, '1', 2.850517, 51.14275, '51.22%', '98.21%']
[10.0, '2', 2.786788, 85.80994, '85.93%', '98.36%']
[11.25, '2', 2.667292, 85.02288, '85.15%', '98.33%']
[12.5, '2', 2.682094, 88.6563, '88.78999999999999%', '98.34%']
[15.0, '2', 2.682336, 88.63926, '88.77%', '98.34%']
[20.0, '2', 2.67822, 88.88849, '89.02000000000001%', '98.34%']
[29.0, '2', 2.678698, 88.89206, '89.03%', '98.34%']

t YN Yeig Ymass prYmass totalprYmass
[0.200004, '2', 3.30872, 43.15111, '43.209999999999994%', '97.97%']
[2.50001, '1', 3.306943, 46.31513, '46.38%', '97.97%']
[5.00001, '1', 3.307785, 70.37069, '70.47%', '97.98%']
[6.25001, '1', 3.211209, 47.90554, '47.97%', '98.00%']
[7.50001, '1', 2.844934, 84.66071, '84.78%', '98.22%']
[8.75001, '2', 2.950109, 51.10332, '51.17999999999999%', '98.24%']
[10.0, '1', 2.771582, 85.92533, '86.05%', '98.36%']
[11.25, '1', 2.5458, 84.95407, '85.08%', '98.32%']
[12.5, '1', 2.589718, 88.70062, '88.83%', '98.33%']
[15.0, '1', 2.606066, 88.6822, '88.81%', '98.33%']
[20.0, '1', 2.602252, 88.92641, '89.06%', '98.33%']
[29.0, '1', 2.603825, 88.91533, '89.04%', '98.34%']

t ZN Zeig Zmass prZmass totalprZmass
[0.200004, '7', 11.08405, 53.11749, '53.2%', '71.58%']
[2.50001, '7', 11.08521, 53.53583, '53.60999999999999%', '71.57%']
[5.00001, '7', 11.05782, 53.68812, '53.769999999999996%', '71.58%']
[6.25001, '7', 10.73716, 53.88059, '53.959999999999994%', '71.85%']
[7.50001, '7', 10.39141, 53.07093, '53.14999999999999%', '72.27%']
[8.75001, '7', 10.36424, 53.75141, '53.83%', '72.34%']
[10.0, '7', 10.34632, 55.19751, '55.27000000000001%', '72.54%']
[11.25, '7', 9.790833, 54.98085, '55.06%', '72.86%']
[12.5, '7', 9.835799, 53.86134, '53.94%', '72.83%']
[15.0, '7', 9.850789, 54.60588, '54.69%', '72.80%']
[20.0, '7', 9.848607, 54.55507, '54.629999999999995%', '72.80%']
[29.0, '7', 9.847482, 54.48494, '54.56%', '72.81%']

t XRN XReig XRmass prXRmass totalprXRmass
[0.200004, '2', 3.30872, 4.927535e-09, '0.0%', '0.00%']
[2.50001, '1', 3.306943, 5.293571e-09, '0.00%', '0.00%']
[5.00001, '1', 3.307785, 7.999674e-09, '0.00%', '0.00%']
[6.25001, '1', 3.211209, 5.298838e-09, '0.00%', '0.00%']
[7.50001, '1', 2.844934, 8.128409e-09, '0.00%', '0.00%']
[8.75001, '2', 2.950109, 4.94723e-09, '0.0%', '0.00%']
[10.0, '1', 2.771582, 7.420301e-09, '0.00%', '0.00%']
[11.25, '1', 2.5458, 7.534451e-09, '0.00%', '0.00%']
[12.5, '1', 2.589718, 7.963618e-09, '0.00%', '0.00%']
[15.0, '1', 2.606066, 7.94127e-09, '0.00%', '0.00%']
[20.0, '1', 2.602252, 7.944276e-09, '0.00%', '0.00%']
[29.0, '1', 2.603825, 7.943021e-09, '0.00%', '0.00%']

t YRN YReig YRmass prYRmass totalprYRmass
[0.200004, '1', 3.308472, 4.927423e-09, '0.00%', '0.00%']
[2.50001, '2', 3.312884, 5.2887e-09, '0.0%', '0.00%']
[5.00001, '2', 3.313558, 7.990302e-09, '0.0%', '0.00%']
[6.25001, '2', 3.234344, 5.369547e-09, '0.0%', '0.00%']
[7.50001, '2', 2.978729, 8.069814e-09, '0.0%', '0.00%']
[8.75001, '1', 2.850517, 4.762546e-09, '0.00%', '0.00%']
[10.0, '2', 2.786788, 7.417801e-09, '0.0%', '0.00%']
[11.25, '2', 2.667292, 7.152195e-09, '0.0%', '0.00%']
[12.5, '2', 2.682094, 7.548089e-09, '0.0%', '0.00%']
[15.0, '2', 2.682336, 7.558983e-09, '0.0%', '0.00%']
[20.0, '2', 2.67822, 7.573107e-09, '0.0%', '0.00%']
[29.0, '2', 2.678698, 7.56964e-09, '0.0%', '0.00%']

t ZRN ZReig ZRmass prZRmass totalprZRmass
[0.200004, '3', 5.427686, 1.223017e-07, '0.0%', '0.00%']
[2.50001, '3', 5.422297, 1.225382e-07, '0.0%', '0.00%']
[5.00001, '3', 5.403715, 1.229386e-07, '0.0%', '0.00%']
[6.25001, '3', 5.267399, 1.226011e-07, '0.0%', '0.00%']
[7.50001, '3', 4.658722, 1.281408e-07, '0.0%', '0.00%']
[8.75001, '3', 4.625885, 1.286169e-07, '0.0%', '0.00%']
[10.0, '3', 4.342399, 1.362981e-07, '0.0%', '0.00%']
[11.25, '3', 4.177735, 1.301831e-07, '0.0%', '0.00%']
[12.5, '3', 4.239985, 1.306563e-07, '0.0%', '0.00%']
[15.0, '3', 4.260363, 1.309561e-07, '0.0%', '0.00%']
[20.0, '3', 4.25548, 1.309513e-07, '0.0%', '0.00%']
[29.0, '3', 4.257062, 1.309952e-07, '0.0%', '0.00%']

